公司全名,薪资,区域
上海中软华腾软件系统有限公司,15k-20k,上海·陆家嘴
IFEC,12k-20k,广州·黄埔区
猫爸科技,10k-15k,杭州·西兴
中科祥云,6k-9k,广州·天河区
宝尊电商,20k-35k,上海·闸北区
星蓝块链,20k-40k,广州·天河区
广州果橙网络技术有限公司,10k-15k,广州·天河区
广西德拓电子有限公司,8k-15k,南宁·良庆区
君学,18k-25k,上海·八佰伴
第一卫,6k-12k,深圳·龙华新…
兄弟玩游戏/春秋游戏,15k-20k,广州·天河公…
闪送,20k-35k,北京·海淀区
润杨金融,10k-20k,深圳·南山区
陌陌,20k-40k,北京·望京
店佳科技,9k-18k,北京·工体
合众易宝,15k-25k,北京·四季青
长沙微领地网络科技有限公司,9k-15k,长沙·麓谷
集和品牌,8k-10k,广州·五羊新…
税友软件,10k-20k,杭州·浦沿
众禄基金,15k-25k,深圳·罗湖区
crosslink,13k-18k,宁波·鄞州区
Xmov,16k-30k,上海·徐汇区
中欧商业在线,15k-20k,上海·金桥
金明源,10k-20k,郑州·金水区
小鸟云,13k-20k,深圳·南山区
五八到家,15K-25K,长沙·麓谷
通力互联,13k-24k,深圳·坂田
中国联保,10k-15k,深圳·龙岗区
众禄基金,15k-25k,深圳·罗湖区
搜道,12k-24k,杭州·拱墅区
襄岳信息,10K-20K,上海·控江路
皙印,8k-12k,厦门·思明区
Q房网,10k-18k,深圳·科技园
Swie.io,14k-25k,北京·海淀区
广州小马网络科技有限公司,13k-20k,广州·体育中…
全速网络,10k-18k,杭州·湖墅南…
慧尔,18k-22k,广州·东湖
拉趣科技,12k-15k,杭州·西湖区
广州赤骥科技发展有限公司,8k-13k,济南·杆石桥
亚安,12k-15k,上海·四川北…
路路由,10k-18k,上海·世纪公…
旗构旅游,10k-15k,深圳·南山区
海万科技,8k-14k,上海·张江
银兴科技,13k-23k,深圳·南山区
湖北三新,10k-20k,武汉·光谷
上海奔影网络科技有限公司,15k-25k,上海·徐家汇
海万科技,8k-14k,上海·浦东新…
三代人科技,10k-17k,深圳·科技园
新云网,9k-16k,长沙·岳麓区
阜极科技,10k-20k,济南·杆石桥
金证股份,10k-16k,深圳·福田区
星飞,10k-15k,广州·天河区
云智汇（重庆）高新科技服务有限公司,10k-15k,重庆·西永
红茄科技,7k-10k,成都·高新区
通力互联,10k-20k,北京·北京大…
无锡聚云科技有限公司,6k-12k,无锡·滨湖区
迅联网络,8k-15k,青岛·黄岛区
玩吧,20k-35k,北京·东城区
海万科技,9k-17k,上海·浦东新…
车伴,6k-12k,长沙·天心区
浙江上士网络科技有限公司,10k-15k,广州·东圃
贝盈达人,15k-20k,杭州·余杭区
京华信息,8k-15k,广州·天河区
中国联保,8k-15k,深圳·龙岗区
鼎驰,10k-15k,深圳·莲花二…
同业云,15k-20k,上海·镇宁路
通力互联,12k-20k,深圳·坂田
千展信息,10k-15k,郑州·高新区
爱袋游戏,10k-16k,南京·鼓楼区
新安金融,8k-13k,合肥·包河区
创世乐享,15k-25k,北京·海淀区
盈聚科技,13k-20k,广州·新港
贝壳,30k-60k,北京·上地
