公司全名,薪资,区域
新华社瞭望智库,10k-18k,北京·永定门
趣头条,20k-35k,北京·苏州街
图灵实验室,7K-14K,郑州·高新区
尚云技术,12k-15k,深圳·科技园
网易,15k-30k,广州·天河区
映客,30k-50k,北京·望京
信息技术、软件开发、测试及应用,8k-15k,重庆·兴隆
视野金融,15k-25k,北京·学院路
达内集团,18k-30k,北京·大钟寺
百融云创,15k-30k,北京·中关村
迅蚁网络,10k-18k,杭州·仓前
德利,12k-24k,广州
编程猫,8k-15k,北京·安定门
芽芽,14k-24k,北京·学院路
佰锐科技,12k-20k,广州·天园
深圳思力科,12k-24k,深圳·科技园
东土科技,20k-40k,北京·八大处
汇游科技,15k-20k,北京·北苑
奥德塔,12k-18k,北京·西三旗
Rela热拉-多元女性社区,15k-30k,上海·四川北…
微诺,15k-30k,深圳·新安
达达-京东到家,20k-35k,上海·平凉路
招商银行信用卡中心,30k-50k,上海·浦东新…
平安科技,15k-30k,深圳·科技园
Rokid,20k-40k,杭州·西湖区
小步网络,18k-30k,深圳·西乡
欢聚时代（YY Inc）,25k-50k,广州·番禺区
Lazada,20k-40k,深圳·深圳湾
旷视MEGVII,25k-50k,北京·北京大…
凤凰网,20k-35k,北京·望京
Qtum,20k-40k,上海·镇宁路
极光,20k-35k,深圳·南山区
车好多集团,20k-40k,北京·上地
欢聚时代（YY Inc）,25k-50k,广州·番禺区
平安科技,20k-40k,深圳·科技园
商汤科技,20k-40k,北京·海淀区
车好多集团,30k-60k,北京·上地
Fordeal,20k-30k,广州·海珠区
杉岩数据,10k-20k,深圳·南山区
好未来,20k-40k,北京·中关村
AfterShip,30k-50k,深圳·南山区
拼多多,25k-50k,上海·长宁区
婚礼纪,18k-32k,杭州·西溪
达达-京东到家,15k-25k,上海·平凉路
哔哩哔哩,35k-50k,上海·复旦大…
明略科技集团,15k-30k,北京·望京
君海游戏,10k-20k,广州·琶洲
喜马拉雅,15k-30k,上海·张江
欢聚时代（YY Inc）,20k-40k,广州·番禺区
车好多集团,25k-50k,北京·酒仙桥
哔哩哔哩,35k-50k,上海·复旦大…
拼多多,20k-40k,上海·天山路
即刻,13k-20k,上海·五角场
K2DATA,15k-30k,北京·海淀区
北京晟政科技有限公司,15k-25k,北京·知春路
海拍客,20k-30k,杭州·西湖区
紫光云,12k-20k,成都·双流县
呆萝卜,20k-35k,杭州·拱墅区
联元智能科技,12k-20k,上海·曹杨
旷视MEGVII,15k-25k,北京·海淀区
盈盈集团,20k-35k,杭州·三塘
OPPO,20k-40k,深圳·南山区
达观数据,20k-30k,成都·武侯区
车好多集团,25k-50k,北京·东坝
拼多多,25k-50k,上海·长宁区
紫光云,12k-18k,天津·滨海新…
呆萝卜,25k-45k,杭州·拱墅区
陆金所,13k-26k,上海·浦东新…
一亩田,20k-35k,北京·西三旗
达达-京东到家,20k-30k,上海·平凉路
阿里巴巴-高德,20k-40k,北京·双井
商汤科技,25k-50k,北京·海淀区
BLUE,20k-30k,深圳·深圳湾
拉勾网,18k-36k,北京·中关村
杉岩数据,15k-30k,深圳·南山区
印象笔记,15k-30k,北京·朝阳区
旷视MEGVII,20k-35k,北京·北京大…
收钱吧,12k-24k,苏州·工业园…
拼多多,30k-60k,上海·长宁区
商汤科技,20k-40k,深圳·前海
阿里巴巴-高德,20k-40k,北京·双井
OPPO,15k-30k,深圳·十六铺
华卓科技,15k-25k,杭州·东新路
同盾科技,20k-35k,杭州·仓前
浙大中控信息,10k-20k,杭州·滨江区
绿盟科技,10k-20k,北京·紫竹桥
拉勾网,18k-36k,北京·中关村
贝壳金服,20k-30k,上海·五里桥
UCloud,20k-40k,上海·杨浦区
BBD,15k-25k,成都·高新区
千寻位置,15k-30k,上海·杨浦区
影诺医疗,15k-25k,厦门·湖里区
AfterShip,20k-40k,深圳·南山区
商汤科技,20k-40k,北京·五道口
阿里巴巴-高德,20k-40k,北京·双井
OPPO,20k-35k,深圳·后海
BBD,10k-17k,北京·海淀区
拉勾网,15k-30k,北京·中关村
北京安为科技有限公司,15k-25k,北京·香山
挖财,20k-30k,上海·浦东新…
金蝶,12k-24k,深圳·南山区
欢聚时代（YY Inc）,30k-50k,广州·番禺区
商米科技,15k-30k,上海·复旦大…
车好多集团,25k-50k,北京·望京
快看漫画,20k-40k,北京·小关
UCloud,20k-40k,北京·西直门
旷视MEGVII,25k-50k,北京·北京大…
声智科技,15k-30k,北京·海淀区
阿里巴巴-高德,20k-40k,北京·双井
快仓智能仓储,10k-20k,上海·虹梅路
Lazada,20k-40k,深圳·深圳湾
自如网,16k-30k,北京·朝阳区
旷视MEGVII,20k-40k,北京·北京大…
上海驰勤,14k-19k,上海·塘桥
云间网络,12k-20k,东莞·东莞市…
百乘金科集团,20k-30k,北京·大屯
探探,25k-50k,北京·建国门
BitBays,15k-30k,北京·中关村
即刻,25k-35k,上海·杨浦区
收钱吧,15k-30k,上海·金沙江…
vivo,25k-45k,深圳·新安
车好多集团,20k-40k,北京·上地
企朋,12k-18k,成都·高新区
收钱吧,20k-40k,上海·长风公…
企朋,15k-30k,杭州·西湖区
宝高科技,30k-40k,海外
希望金科,15k-25k,成都·锦江区
木瓜移动,25k-35k,北京·学院路
拓阔科技,20k-30k,深圳·坂田
天壤智能,15k-30k,杭州·西溪
君林科技,20k-30k,北京·望京
虎扑,18k-25k,上海·虹口足…
复临科技,15k-25k,深圳·南山区
芒果电单车,18k-35k,北京·望京
Lazada,20k-40k,深圳·深圳湾
达达-京东到家,25k-50k,北京·亦庄
安恒信息,18k-35k,杭州·西兴
依图科技,17k-34k,上海·长宁区
